 000-000-0000-000000                                                       
 100-000-0000-000000                CURRENT ASSETS                         
 600-100-0028-000000                MFG, DEP'N -M&E                        
 600-100-0029-000000                MFG, DEP'N -F&F                        
 600-100-0030-000000                MFG, DEP'N BLDG                        
 600-100-0031-000000                MFG, DEP'N -VEHICLES                   
 600-100-0032-000000                MFG, DEP'N - LAND IMPRO                
 600-100-0033-000000                MFG, AMORT. -LEASEHOLD                 
 600-100-0034-000000                MFG, OUTSIDE SERVICES                  
 600-100-0035-000000                MFG, OUTSIDE STORAGE                   
 600-100-0036-000000                MFG, FREIGHT MISC                      
 610-000-0000-000000                MKTG EXPENSES                          
 610-100-0000-000000                MKTG                                   
 610-100-0001-000000                MKTG, SALARIES                         
 610-100-0001-010000                MKTG, SALARIES - HK                    
 610-100-0001-020000                MKTG, SALARIES - SHANGH                
 610-100-0002-000000                MKTG, COMMISSION                       
 610-100-0003-000000                MKTG, PART-TIME HELP                   
 610-100-0004-000000                MKTG, OVERTIME                         
 610-100-0005-000000                MKTG, BENEFITS                         
 610-100-0005-010000                MKTG, BENEFITS - HK                    
 610-100-0005-020000                MKTG, BENEFITS - SHANGH                
 610-100-0006-000000                MKTG, PROFIT SHARING                   
 610-100-0007-000000                MKTG, BONUS                            
 610-100-0007-010000                MKTG, BONUS - HK                       
 610-100-0007-020000                MKTG, BONUS - SHANGHAI                 
 610-100-0008-000000                MKTG, T&E -ADMIN                       
 610-100-0008-010000                MKTG, TRAVEL & AUTO                    
 610-100-0008-020000                MKTG, ENTERTAINMENT                    
 610-100-0008-030000                MKTG, FOREIGN TRAVEL                   
 610-100-0008-040000                MKTG, FOREIGN TRAINING                 
 610-100-0009-000000                MKTG, T&E -SALES                       
 610-100-0009-010000                MKTG, TRAVEL & AUTO                    
 610-100-0009-020000                MKTG, ENTERTAINMENT                    
 610-100-0009-030000                MKTG, FOREIGN TRAVEL                   
 610-100-0009-040000                MKTG, FOREIGN TRAINING                 
 610-100-0009-050000                MKTG, T&E - SHANGHAI                   
 610-100-0010-000000                MKTG, PERSONNEL                        
 610-100-0011-000000                MKTG, EDUCATION                        
 610-100-0012-000000                MKTG, OFFICE SUPPLIES                  
 610-100-0013-000000                MKTG, DUE & SUB                        
 610-100-0014-000000                MKTG, POSTAGE                          
 610-100-0015-000000                MKTG, MACHINE LEASE                    
 610-100-0016-000000                MKTG, TELEPHONE                        
 610-100-0016-010000                MKTG, TELEPHONE - HK                   
 610-100-0016-020000                MKTG, TELEPHONE -SHANGH                
 610-100-0017-000000                MKTG, PATENT LEGAL                     
 610-100-0018-000000                MKTG, RENT/FACILITIES                  
 610-100-0019-000000                MKTG, HEAT, LIGHT & POW                
 610-100-0020-000000                MKTG, INSURANCE                        
 610-100-0021-000000                MKTG, TAX -REAL ESTATE                 
 610-100-0022-000000                MKTG, DEP'N -M&E                       
 610-100-0023-000000                MKTG, DEP'N -F&F                       
 610-100-0024-000000                MKTG, AMORT -LEASEHOLD                 
 610-100-0025-000000                MKTG, PATENT AMORT                     
 610-100-0026-000000                MKTG, OUTSIDE SERVICES                 
 610-100-0027-000000                MKTG, PROMOTIONS & CONT                
 610-100-0028-000000                MKTG, MKTG RESEARCH                    
 610-100-0029-000000                MKTG, LEAD RESPONSE                    
 610-100-0030-000000                MKTG, SPACE AD.                        
 610-100-0031-000000                MKTG, PUBLIC RELATIONS                 
 610-100-0032-000000                MKTG, TRADE SHOWS                      
 610-100-0033-000000                MKTG, DISTRIBUTION AID                 
 610-100-0034-000000                MKTG, PRINTING                         
 610-100-0035-000000                MKTG, DIRECT MAIL                      
 610-100-0036-000000                MKTG, SALES MEETINGS                   
 610-100-0037-000000                MKTG, SAMPLES                          
 610-100-0038-000000                MKTG, BAD DEBTS                        
 610-100-0039-000000                MKTG, COLLECTION FEES                  
 610-100-0040-000000                MKTG, REPAIR & MAINT                   
 620-000-0000-000000                ADMIN EXPENSES                         
 620-100-0000-000000                ADM                                    
 620-100-0001-000000                ADM, SALARIES                          
 620-100-0002-000000                ADM, PART-TIME HELP                    
 620-100-0003-000000                ADM, OVERTIME                          
 620-100-0004-000000                ADM, BENEFIT                           
 620-100-0005-000000                ADM, PROFIT SHARING                    
 620-100-0006-000000                ADM, BONUS                             
 620-100-0007-000000                ADM, T&E                               
 620-100-0007-010000                ADM, TRAVEL & AUTO                     
 620-100-0007-020000                ADM, ENTERTAINMENT                     
 620-100-0007-030000                ADM, FOREIGN TRAVEL                    
 620-100-0007-040000                ADM, FOREIGN TRAINING                  
 620-100-0008-000000                ADM, PENSION                           
 620-100-0009-000000                ADM, PERSONNEL                         
 620-100-0010-000000                ADM, EDUCATION                         
 620-100-0011-000000                ADM, MEETINGS                          
 620-100-0012-000000                ADM, OFFICE SUPPLIES                   
 620-100-0013-000000                ADM, DUE & SUB                         
 620-100-0014-000000                ADM, POSTAGE                           
 620-100-0015-000000                ADM, MACHINE LEASE                     
 620-100-0016-000000                ADM, TELEPHONE                         
 620-100-0017-000000                ADM, AUDIT & TAX                       
 620-100-0018-000000                ADM, LEGAL EXPENSES                    
 620-100-0019-000000                ADM, LEASE & RENTALS                   
 620-100-0020-000000                ADM, HEAT LIGHT & POWER                
 620-100-0021-000000                ADM, TAX -REAL ESTATE                  
 620-100-0022-000000                ADM, INSURANCE                         
 620-100-0023-000000                ADM, DEP'N -M&E                        
 620-100-0024-000000                ADM, DEP'N -F&F                        
 620-100-0025-000000                ADM, GOODWILL AMORT                    
 620-100-0026-000000                ADM, PATENT AMORT                      
 620-100-0027-000000                ADM, SOFTWARE AMORT                    
 620-100-0028-000000                ADM, STOCK BONUS AMORT                 
 620-100-0029-000000                ADM, PROFESSIONAL FEE                  
 620-100-0030-000000                ADM, REPARI AND M                      
